MSB,Fund 156,Fund 176,Fund 196
110,,,
105,193.79,215.33,239.55
100,199.18,223.4,250.32
95,207.25,231.48,258.39
90,215.33,242.24,269.16
85,226.09,250.32,277.23
80,234.17,261.09,288.01
75,242.24,271.85,301.46
70,253.01,282.62,312.23
65,263.78,293.38,322.99
60,271.85,304.15,336.45
55,282.62,314.92,349.91
50,296.08,328.38,366.06
45,309.53,344.53,382.21
40,322.99,363.37,401.05
35,341.83,379.52,419.89
30,368.75,403.74,444.12
25,384.9,427.97,473
20,409.13,454.88,503.33
15,441.43,489.88,543.71
10,484.49,541.02,597.54
5,540,601,664.83
